origin_airport,destination_airport,num_flights,average_delay
DTW,MKE,883,2.2627406568516424
MSP,GRR,674,2.2663204747774484
ATL,DSM,909,2.271177117711771
OKC,ATL,1414,2.2797029702970297
SLC,ATL,2539,2.304450571090981
ANC,SEA,1240,2.311693548387097
DAB,ATL,1479,2.356997971602434
ATL,GPT,1131,2.3753315649867375
GSP,ATL,1672,2.3788875598086126
OMA,MSP,689,2.4013062409288826
PDX,SLC,1653,2.411070780399274
DTW,SLC,1384,2.4266618497109826
CVG,ATL,2207,2.432487539646579
ATL,JAN,1894,2.4353220696937696
SLC,AUS,389,2.4395886889460154
MCI,ATL,2510,2.442629482071713
BHM,ATL,3033,2.4803824596109463
ATL,SFO,2219,2.487607030193781
ATL,TLH,1235,2.492712550607288
ATL,GRR,1275,2.497254901960784
LAX,BOS,551,2.5
DTW,RDU,624,2.5072115384615383
JFK,AUS,575,2.508695652173913
HSV,ATL,1755,2.517378917378917
DTW,CLT,1211,2.5247729149463254
ORF,ATL,2613,2.531572904707233
SDF,ATL,2655,2.549152542372881
MSP,MKE,1494,2.5816599732262384
ICT,ATL,851,2.5945945945945947
DTW,MSY,597,2.6180904522613067
ATL,MSY,4152,2.6388487475915223
SAT,ATL,2206,2.6541251133272894
MDT,ATL,878,2.6981776765375853
ATL,LIT,1923,2.7067082683307335
CHA,ATL,774,2.70671834625323
MSP,DEN,1803,2.715474209650582
PVD,ATL,908,2.7224669603524227
DTW,MSN,1023,2.732160312805474
SLC,MCI,499,2.7324649298597197
SAV,ATL,3120,2.738621794871795
ATL,OMA,1330,2.7473684210526317
GEG,SLC,693,2.75974025974026
SEA,DTW,1556,2.7763496143958872
MSP,STL,1164,2.7942439862542954
MSP,DCA,1640,2.8225609756097563
DTW,TPA,1555,2.860771704180064
IND,MSP,867,2.8690888119953866
ATL,SAT,2215,2.891647855530474
JAX,ATL,3997,2.910057543157368
MCO,DTW,1970,2.950507614213198
MSP,MCI,1175,2.9557446808510637
ATL,LEX,982,2.99949083503055
FAY,ATL,470,3.019148936170213
DAL,ATL,1415,3.0212014134275615
VPS,ATL,1753,3.040501996577296
MCO,MSP,1397,3.055833929849678
DAY,ATL,1298,3.073574730354391
ATL,BHM,3040,3.1057565789473682
SEA,ATL,2169,3.120331950207469
MSP,FAR,711,3.1336146272855134
ATL,MDT,880,3.140909090909091
BOS,SLC,566,3.145759717314488
ATL,SYR,936,3.1479700854700856
MCI,DTW,868,3.149769585253456
ATL,SEA,2174,3.158923643054278
DTW,BNA,1148,3.1933797909407664
ANC,MSP,572,3.1966783216783217
BWI,MSP,853,3.2098475967174678
LAX,SEA,1644,3.223844282238443
ATL,CAK,1328,3.2296686746987953
ATL,SRQ,1926,3.2313084112149535
ATL,PIT,2583,3.2684862562911343
IND,ATL,2625,3.269904761904762
MSP,LAX,2133,3.308485700890764
SMF,MSP,539,3.3126159554730985
ATL,STL,2526,3.342240696753761
ATL,AUS,2230,3.3459641255605383
MSN,MSP,774,3.3669250645994833
SLC,LAS,1724,3.394431554524362
DTW,PHX,1149,3.400348128807659
MDW,ATL,2272,3.406470070422535
ELP,ATL,695,3.4093525179856115
ATL,ROC,966,3.43064182194617
DTW,MCI,868,3.4654377880184333
ATL,MIA,3829,3.46617915904936
ATL,FLL,4767,3.4802810992238307
ATL,IAD,2088,3.491858237547893
DTW,BWI,1442,3.499653259361997
STL,MSP,1169,3.515825491873396
DTW,MCO,1966,3.532299084435402
JFK,SJU,1586,3.5466582597730136
ATL,XNA,535,3.5598130841121494
TPA,ATL,4738,3.5613127902068387
ATL,DEN,2461,3.5686712718407154
ATL,VPS,1750,3.6037142857142856
MEM,ATL,3080,3.6282467532467533
ATL,RDU,3726,3.6292270531400965
SAN,JFK,723,3.6293222683264172
ATL,DFW,3657,3.632895816242822
DTW,DEN,1053,3.634377967711301
ATL,RSW,2926,3.6555023923444976
HNL,SEA,566,3.6563604240282688
DTW,LAX,1669,3.6569802276812466
MSP,MCO,1397,3.666070150322119
LAX,MSY,927,3.6720604099244873
PBI,ATL,3512,3.6826594533029615
EWR,ATL,3331,3.6961873311317923
ATL,EYW,989,3.7249747219413547
ATL,ALB,825,3.7266666666666666
ABQ,ATL,799,3.7471839799749684
TPA,DTW,1557,3.7803468208092483
ATL,MSP,3570,3.7911764705882356
MSY,ATL,4156,3.7945139557266603
SFO,SLC,591,3.7986463620981388
DEN,DTW,1049,3.824118207816969
LAS,SLC,1731,3.8365106874638935
ATL,CAE,1013,3.8613030602171765
IAD,ATL,2084,3.873800383877159
ATL,CLT,3631,3.8806114018176814
ATL,CVG,2212,3.883363471971067
MSP,ANC,574,3.8858885017421603
ATL,MDW,2277,3.8945981554677207
SJC,MSP,457,3.9091903719912473
DEN,ATL,2454,3.9217603911980445
ATL,TUS,615,3.92520325203252
MIA,ATL,3825,3.972679738562092
ROA,ATL,385,3.979220779220779
BNA,ATL,3174,4.005198487712666
ATL,CMH,2542,4.00531077891424
BUF,DTW,430,4.018604651162791
MOB,ATL,454,4.04295154185022
ECP,ATL,1876,4.053304904051172
SLC,DCA,626,4.055111821086262
DTW,PVD,546,4.061355311355311
CLT,ATL,3630,4.066804407713499
MSP,SEA,1959,4.07554874936192
MCO,CVG,590,4.085593220338983
ATL,RIC,2564,4.1298751950078
ATL,ABQ,800,4.13625
ATL,MCI,2523,4.148830757035276
MCO,LAX,877,4.155074116305587
MSP,OMA,697,4.1700143472022955
HOU,ATL,1692,4.170508274231678
MCI,MSP,1177,4.177570093457944
DTW,ATL,3480,4.182902298850575
MSP,SFO,1754,4.189566704675028
MSP,DTW,2464,4.2163149350649345
PWM,ATL,602,4.223421926910299
ATL,HSV,1758,4.230091012514221
DSM,ATL,904,4.242256637168142
ATL,BWI,3581,4.254258586986875
LAX,SLC,2251,4.26499333629498
ATL,MLB,1259,4.276012708498809
ATL,IAH,2319,4.31910306166451
SLC,SEA,2072,4.324324324324325
ATL,BNA,3179,4.334853727587292
LAX,MSP,2128,4.3406954887218046
ATL,ORF,2620,4.35381679389313
DTW,MSP,2463,4.375152253349574
MKE,DTW,883,4.420724801812004
ATL,IND,2634,4.425588458618072
LAX,DTW,1667,4.432813437312538
DTW,SEA,1555,4.446302250803859
ATL,LAX,3618,4.463515754560531
PHX,JFK,749,4.487316421895861
ATL,MEM,3088,4.495142487046632
ATL,SDF,2661,4.5251785043216834
MCI,SLC,498,4.540160642570281
LAX,MIA,372,4.587365591397849
ATL,DAB,1482,4.587719298245614
ATL,FAY,471,4.615711252653928
DCA,MSP,1644,4.627737226277373
MSP,MSN,760,4.631578947368421
MSP,BOI,487,4.63552361396304
ATL,DTW,3488,4.667001146788991
SLC,JAC,529,4.676748582230624
AGS,ATL,696,4.67816091954023
JFK,PHX,750,4.698666666666666
ATL,MCO,5224,4.719946401225115
ATL,ECP,1874,4.74119530416222
SEA,MSP,1957,4.764435360245273
ATL,PBI,3517,4.767415410861529
ATL,GSP,1671,4.77049670855775
MLB,ATL,1254,4.785087719298245
ATL,GSO,1886,4.793478260869565
MKE,MSP,1493,4.813462826523777
JFK,SAN,719,4.851877607788595
PHL,ATL,3490,4.856160458452722
BOS,ATL,3561,4.8806515023869705
PIT,DTW,375,4.897333333333334
JFK,LAS,1544,4.909326424870467
MSP,JFK,815,4.962576687116564
RDU,LAX,440,5.002272727272727
ATL,ELP,697,5.0767575322812055
ATL,PNS,2248,5.082517793594306
MSP,PHL,1120,5.123214285714285
DFW,SLC,712,5.155898876404494
MIA,DTW,586,5.166382252559727
ROC,ATL,963,5.250778816199377
SEA,SLC,2072,5.256515444015444
RDU,ATL,3726,5.257380568974772
ATL,SAV,3123,5.257764969580531
ATL,TPA,4746,5.286662452591656
ATL,BOS,3572,5.2875139977603585
